system:index,DistanceToLine,NDVI,ProximityFactor,RiskLabel,RiskScore,Vegetation,VegetationFactor,latitude,longitude,.geo,predicted_risk_probability,predicted_priority
1,2513.185229942274,0.426712692511949,0.2846221935051988,0,0.2224597566980359,1,0.1810181321599272,26.04804405173591,80.22777445672297,"{""type"":""MultiPoint"",""coordinates"":[]}",4.463036786496564e-16,Low
2,1100.5453193758085,0.3896810992999741,0.576792520869481,0,0.3075865220334844,1,0.1281158561428201,26.01085379897336,80.10093233860529,"{""type"":""MultiPoint"",""coordinates"":[]}",8.144200260389804e-10,Low
4,1241.933975700802,0.5225455708346659,0.5374245032849243,1,0.4057231477436833,1,0.3179222440495227,26.011482619672247,80.13102590062329,"{""type"":""MultiPoint"",""coordinates"":[]}",4.361870133575005e-06,Low
6,640.0781202322104,0.6031036915118739,0.726120674161926,1,0.5502514338178053,1,0.4330052735883913,25.979322932500768,80.33647060610143,"{""type"":""MultiPoint"",""coordinates"":[]}",0.03740839626631727,Low
8,932.6306878931232,0.406494960806271,0.6273094346208421,0,0.3422051688251406,1,0.1521356582946729,26.037354099854888,79.95872902912916,"{""type"":""MultiPoint"",""coordinates"":[]}",5.975401167671113e-08,Low
9,1322.1951444472938,0.4183864915572232,0.5162843640256414,0,0.3079878812307336,1,0.1691235593674618,26.03690494221283,80.22840327742185,"{""type"":""MultiPoint"",""coordinates"":[]}",7.121229145311592e-10,Low
10,1013.1633629380802,0.3595854922279792,0.6025517763439372,0,0.2920939895901285,1,0.085122131754256,26.013279250240487,80.29308197787846,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0404120736471266e-10,Low
12,1176.435293588219,0.4788211103495546,0.5553161727596467,1,0.3754017065463341,1,0.2554587290707923,26.02855061007052,80.25723919804209,"{""type"":""MultiPoint"",""coordinates"":[]}",7.109207914726073e-07,Low
13,2025.2654147049464,0.2146750366500018,0.3632613587069582,0,0.1453045434827833,0,0.0,26.044540622127844,80.16004148430035,"{""type"":""MultiPoint"",""coordinates"":[]}",4.4034919723366075e-21,Low
15,1734.156855650607,0.4883142715067131,0.4201773361770589,0,0.3294831671908633,1,0.269020387866733,26.03564730081506,80.24996284424071,"{""type"":""MultiPoint"",""coordinates"":[]}",6.076920550577166e-09,Low
16,2483.082761407682,0.1534612176814011,0.2889385102803603,0,0.1155754041121441,0,0.0,26.02962858841146,80.29092602119657,"{""type"":""MultiPoint"",""coordinates"":[]}",2.2290408834236896e-24,Low
